id,koolinimi,vald,maakond,opilasi
469,Kaelase Kool,Halinga vald,Pärnu maakond,30
470,Lindi Lasteaed-Algkool,Audru vald,Pärnu maakond,30
471,Rakvere Vanalinna Kool,Rakvere linn,Lääne-Viru maakond,30
472,Sonda Kool,Sonda vald,Ida-Viru maakond,30
473,Tudu Lasteaed-Põhikool,Vinni vald,Lääne-Viru maakond,30
474,Vajangu Põhikool,Tamsalu vald,Lääne-Viru maakond,30
475,Tali Põhikool,Saarde vald,Pärnu maakond,28
476,Mihkli Kool,Tapa vald,Lääne-Viru maakond,27
477,Ritsu Lasteaed-Algkool,Helme vald,Valga maakond,27
478,Luua Algkool,Palamuse vald,Jõgeva maakond,26
479,Mehikoorma Põhikool,Meeksi vald,Tartu maakond,26
480,Ruusa Põhikool,Räpina vald,Põlva maakond,26
481,Tartu Rahvusvaheline Kool,Tartu linn,Tartu maakond,26
482,Viira Kool,Tori vald,Pärnu maakond,26
483,Kaagvere Erikool,Mäksa vald,Tartu maakond,25
484,Pisisaare Algkool,Pajusi vald,Jõgeva maakond,24
485,Valguta Lasteaed-Algkool,Rõngu vald,Tartu maakond,24
486,Himmaste Algkool,Põlva vald,Põlva maakond,23
487,Jaagu Lasteaed-Põhikool,Pärsti vald,Viljandi maakond,23
488,Neeme Kool,Jõelähtme vald,Harju maakond,23
489,Aakre Lasteaed-Algkool,Puka vald,Valga maakond,22
490,Hilariuse Kool,Tallinn linn,Harju maakond,22
491,Kõmsi Lasteaed-Algkool,Hanila vald,Lääne maakond,22
492,Salla Põhikool,Rakke vald,Lääne-Viru maakond,22
493,Varbola Lasteaed-Algkool,Märjamaa vald,Rapla maakond,22
494,Vastseliina Internaatkool,Vastseliina vald,Võru maakond,22
495,Aruvälja Lasteaed-Algkool,Audru vald,Pärnu maakond,20
496,Kergu Lasteaed-Algkool,Vändra vald,Pärnu maakond,20
497,Kuremaa Lasteaed-Algkool,Jõgeva vald,Jõgeva maakond,20
498,Pikakannu Kool,Lasva vald,Võru maakond,20
499,Salu Kool,Saue vald,Harju maakond,20
500,Türi Toimetulekukool,Türi vald,Järva maakond,20
501,Ahula Lasteaed-Algkool,Albu vald,Järva maakond,18
502,Paide Valla Lasteaed-Kool,Paide vald,Järva maakond,18
503,Seljametsa Lasteaed-Algkool,Paikuse vald,Pärnu maakond,18
504,Veltsi Lasteaed-Algkool,Rakvere vald,Lääne-Viru maakond,18
505,Õru Lasteaed-Algkool,Õru vald,Valga maakond,18
506,Kuimetsa Algkool,Kaiu vald,Rapla maakond,17
507,Metsküla Algkool,Lihula vald,Lääne maakond,17
508,Nõva Kool,Nõva vald,Lääne maakond,17
509,Puiatu Lasteaed-Kool,Pärsti vald,Viljandi maakond,17
510,Rakvere Lille Kool,Rakvere linn,Lääne-Viru maakond,17
511,Suigu Lasteaed-Algkool,Are vald,Pärnu maakond,17
512,Suuremõisa Lasteaed-Põhikool,Pühalepa vald,Hiiu maakond,17
513,Vormsi Lasteaed-Põhikool,Vormsi vald,Lääne maakond,17
514,Kabala Kool-Lasteaed,Türi vald,Järva maakond,16
515,Kavastu Algkool-Lasteaed,Luunja vald,Tartu maakond,16
516,Rakvere Täiskasvanute Gümnaasium,Rakvere linn,Lääne-Viru maakond,16
517,Kasari Põhikool,Lihula vald,Lääne maakond,15
518,Kõpu Internaatkool,Kõrgessaare vald,Hiiu maakond,15
519,Pihtla Kool,Pihtla vald,Saare maakond,15
520,Roosi Kool,Põlva linn,Põlva maakond,15
521,Kärstna Kool,Tarvastu vald,Viljandi maakond,14
522,Suislepa Lasteaed-Algkool,Tarvastu vald,Viljandi maakond,14
523,Pikasilla Algkool,Põdrala vald,Valga maakond,13
524,Unipiha Algkool,Kambja vald,Tartu maakond,13
525,Vahenurme Lasteaed-Algkool,Halinga vald,Pärnu maakond,13
526,Ramsi Lasteaed-Kool,Pärsti vald,Viljandi maakond,12
527,Vatla Põhikool,Hanila vald,Lääne maakond,12
528,Vohnja Lasteaed-Algkool,Kadrina vald,Lääne-Viru maakond,12
529,Prangli Põhikool,Viimsi vald,Harju maakond,10
530,Aidu Lasteaed-Algkool,Pajusi vald,Jõgeva maakond,9
531,Lahu Algkool,Rakke vald,Lääne-Viru maakond,9
532,Lavassaare Lasteaed-Algkool,Lavassaare vald,Pärnu maakond,9
533,Saduküla Lasteaed-Algkool,Puurmani vald,Jõgeva maakond,7
534,Ruhnu Põhikool,Ruhnu vald,Saare maakond,6
535,Massiaru Algkool,Häädemeeste vald,Pärnu maakond,3
